Electronics,Video_Games,Musical_Instruments,Software,CDs_and_Vinyl,Digital_Music,All_Beauty,Automotive,Sports_and_Outdoors,Appliances,Pet_Supplies,Home_and_Kitchen,Tools_and_Home_Improvement,Arts_Crafts_and_Sewing,AMAZON_FASHION,Clothing_Shoes_and_Jewelry,Office_Products,Industrial_and_Scientific,Cell_Phones_and_Accessories,Patio_Lawn_and_Garden,Toys_and_Games,Gift_Cards,Prime_Pantry,Luxury_Beauty,Grocery_and_Gourmet_Food,Books,Movies_and_TV,Kindle_Store,Magazine_Subscriptions
0.0,0.276961,0.194707,0.351173,0.708875,0.673345,0.481991,0.300411,0.301745,0.441343,0.499879,0.386494,0.261529,0.441199,0.576906,0.563794,0.222533,0.236805,0.185943,0.376872,0.376867,0.753261,0.678597,0.688917,0.764321,0.695002,0.632723,0.765933,0.5986
0.384443,0.0,0.463232,0.404437,0.573375,0.552389,0.657796,0.634263,0.501707,0.734636,0.690674,0.621791,0.574771,0.654463,0.770546,0.755607,0.511942,0.545434,0.56838,0.636301,0.341365,0.818756,0.780077,0.850975,0.799197,0.522742,0.459626,0.564672,0.535863
0.277175,0.389915,0.0,0.560809,0.558784,0.548884,0.546891,0.422281,0.389578,0.549662,0.584757,0.46617,0.388201,0.489558,0.625587,0.627309,0.406414,0.337697,0.44427,0.478969,0.398474,0.859778,0.727127,0.730081,0.785546,0.707781,0.63675,0.785028,0.672141
0.354298,0.414633,0.509725,0.0,0.808111,0.755638,0.756208,0.635438,0.653863,0.708058,0.799422,0.715196,0.605232,0.684005,0.938705,0.920096,0.399922,0.543874,0.595866,0.676693,0.645223,0.778763,0.882585,0.906985,0.910997,0.652487,0.700598,0.735088,0.542573
0.807779,0.627914,0.630918,0.797157,0.0,0.045562,0.975316,1.094086,0.958388,1.196842,1.074154,0.976388,1.032976,0.98788,1.11784,1.10664,0.889292,0.975297,1.05323,1.03263,0.771519,1.131664,1.111052,1.19624,1.095803,0.512206,0.361229,0.62625,0.696341
0.793302,0.629384,0.617859,0.79336,0.052785,0.0,0.956029,1.0939,0.952227,1.197006,1.062273,0.959365,1.025866,0.981039,1.09375,1.082352,0.878335,0.980499,1.024226,1.025209,0.735816,1.053131,1.080658,1.174989,1.073704,0.52675,0.384769,0.617727,0.683162
0.505482,0.611227,0.48592,0.737937,0.770865,0.752079,0.0,0.423212,0.343526,0.470261,0.332288,0.305225,0.366197,0.321743,0.447061,0.458783,0.411557,0.28063,0.483171,0.379908,0.437828,0.810979,0.232106,0.116337,0.429781,0.738704,0.712776,0.743974,0.659278
0.27938,0.481875,0.338926,0.642185,0.825632,0.805005,0.431327,0.0,0.21214,0.299172,0.373773,0.309324,0.171581,0.369925,0.510555,0.490866,0.328776,0.179784,0.327295,0.231086,0.364007,0.839208,0.618398,0.633929,0.708142,0.791071,0.754454,0.858335,0.729514
0.266001,0.394049,0.283165,0.619453,0.682675,0.661533,0.293473,0.20065,0.0,0.352944,0.272108,0.208734,0.17561,0.242888,0.264168,0.240154,0.263262,0.180883,0.300359,0.206358,0.241224,0.725477,0.437975,0.47784,0.52141,0.620093,0.585537,0.674765,0.574931
0.425632,0.640832,0.479107,0.71581,0.953142,0.938446,0.469457,0.27835,0.355589,0.0,0.428169,0.251417,0.245297,0.456788,0.656452,0.634522,0.408815,0.233504,0.507333,0.265578,0.489779,0.891881,0.554085,0.651245,0.656548,0.894256,0.866266,0.947521,0.81847
0.542044,0.604074,0.534273,0.774556,0.778695,0.758394,0.4058,0.469687,0.344248,0.506461,0.0,0.325852,0.401249,0.441491,0.521298,0.511513,0.462084,0.330859,0.581477,0.315054,0.343443,0.800582,0.384059,0.603883,0.527671,0.666621,0.672917,0.702134,0.665823
0.342862,0.490743,0.344508,0.638432,0.699124,0.679822,0.258401,0.27825,0.183755,0.249492,0.254141,0.0,0.186046,0.207497,0.380609,0.373683,0.246626,0.153967,0.37504,0.16677,0.257603,0.684594,0.304322,0.428629,0.359526,0.623249,0.623411,0.677505,0.585163
0.232344,0.427323,0.26097,0.576741,0.74374,0.731473,0.322517,0.149743,0.179427,0.225198,0.302198,0.178315,0.0,0.265444,0.459995,0.445677,0.228647,0.109581,0.312311,0.150283,0.296536,0.775449,0.504688,0.508867,0.600226,0.685464,0.669308,0.752173,0.645462
0.405677,0.541564,0.362866,0.633334,0.7617,0.739849,0.2957,0.350697,0.27129,0.445038,0.396654,0.224177,0.268589,0.0,0.330912,0.344633,0.213269,0.234112,0.424561,0.310701,0.268256,0.693271,0.460924,0.497553,0.53771,0.659615,0.688323,0.75021,0.604545
0.476138,0.610499,0.456521,0.856916,0.826762,0.807805,0.341897,0.408646,0.21053,0.548873,0.393677,0.318186,0.395222,0.269737,0.0,0.043234,0.396736,0.412288,0.419067,0.415172,0.34115,0.752429,0.546696,0.540515,0.635816,0.785122,0.732032,0.822325,0.693162
0.489968,0.631685,0.479172,0.887494,0.840902,0.822226,0.382954,0.415841,0.203446,0.581523,0.416428,0.339255,0.407737,0.306592,0.049568,0.0,0.425586,0.42166,0.468457,0.431823,0.382336,0.802579,0.553793,0.586205,0.671632,0.797118,0.756566,0.842225,0.728882
0.249911,0.448568,0.339908,0.428769,0.76178,0.73812,0.387407,0.356454,0.313802,0.426408,0.44596,0.300485,0.282727,0.219493,0.484121,0.477517,0.0,0.225805,0.342117,0.351553,0.332732,0.635288,0.510013,0.57979,0.607395,0.648168,0.681645,0.739901,0.56944
0.267064,0.450511,0.280167,0.562569,0.741827,0.728481,0.280878,0.193219,0.204801,0.242094,0.286085,0.179894,0.131098,0.23601,0.470569,0.455102,0.220865,0.0,0.350516,0.177267,0.300921,0.739668,0.411158,0.471657,0.523663,0.671041,0.66404,0.744203,0.621475
0.166089,0.430757,0.332435,0.564241,0.861486,0.804613,0.431478,0.322717,0.293184,0.469547,0.487176,0.402698,0.315941,0.428322,0.454017,0.483423,0.275573,0.331435,0.0,0.405556,0.419869,0.745092,0.668744,0.622162,0.757659,0.808644,0.770827,0.851461,0.703273
0.371886,0.498918,0.392268,0.639994,0.732528,0.718808,0.349719,0.254508,0.215255,0.296851,0.261015,0.204773,0.18252,0.319426,0.491819,0.472024,0.333677,0.17491,0.4386,0.0,0.317327,0.775584,0.454337,0.5258,0.503536,0.65516,0.653704,0.717483,0.627067
0.387626,0.324297,0.343298,0.547286,0.574974,0.54153,0.393802,0.421552,0.264735,0.509694,0.332085,0.290338,0.34792,0.289216,0.378555,0.384373,0.326179,0.329411,0.435202,0.356722,0.0,0.569417,0.502449,0.600017,0.525139,0.500715,0.455057,0.556424,0.492924
0.77117,0.799776,0.77611,0.795598,1.06606,0.9578,0.802022,0.879297,0.751869,0.947726,0.915234,0.731987,0.827768,0.645461,0.724414,0.766092,0.624805,0.796044,0.754693,0.820642,0.568047,0.0,0.899872,0.966108,0.788649,1.146369,0.943563,0.976094,0.67799
0.753932,0.787793,0.71405,0.91688,0.85314,0.828782,0.317513,0.672621,0.503261,0.589826,0.403401,0.340331,0.587669,0.533651,0.707947,0.694175,0.613705,0.423921,0.776232,0.48272,0.587817,0.848253,0.0,0.442004,0.13255,0.793054,0.800949,0.781558,0.684493
0.708378,0.80134,0.678753,0.927451,0.931607,0.906943,0.095065,0.60036,0.525674,0.635048,0.488058,0.472369,0.556442,0.488168,0.601636,0.618813,0.600427,0.469938,0.653163,0.568374,0.627614,0.999694,0.30157,0.0,0.544453,0.891563,0.88462,0.908279,0.810321
0.87593,0.864828,0.824946,0.981883,0.862977,0.834834,0.473472,0.833459,0.618626,0.707106,0.541352,0.378858,0.724068,0.652982,0.846107,0.83195,0.743154,0.546131,0.917998,0.557206,0.681343,0.859701,0.096624,0.619304,0.0,0.76377,0.829184,0.783778,0.691189
0.777513,0.505004,0.760974,0.614335,0.408866,0.407224,0.820627,0.933641,0.789767,0.975389,0.847628,0.790281,0.836418,0.78108,0.926236,0.901794,0.696543,0.80282,0.934854,0.824077,0.582463,0.928751,0.900257,0.975883,0.832595,0.0,0.203042,0.049458,0.44013
0.733859,0.426034,0.742808,0.657408,0.307729,0.319358,0.820039,0.928715,0.782051,0.988483,0.883823,0.801483,0.853009,0.845786,0.909942,0.89916,0.773818,0.815628,0.918766,0.852077,0.563126,0.931782,0.901285,0.981142,0.861887,0.24191,0.0,0.311041,0.50422
0.813085,0.529501,0.798473,0.677801,0.458854,0.442326,0.815132,0.961234,0.81607,0.995239,0.85229,0.818349,0.874071,0.811299,0.919162,0.90459,0.75044,0.844222,0.945421,0.859038,0.605952,0.838199,0.899512,0.968989,0.856724,0.048423,0.2479,0.0,0.451856
0.751389,0.651667,0.804677,0.564448,0.728973,0.691709,0.780757,0.905097,0.746178,0.920222,0.880359,0.788257,0.808867,0.781224,0.943179,0.92965,0.658386,0.769136,0.89309,0.828276,0.708836,0.847971,0.827341,0.88694,0.80401,0.66155,0.613647,0.536344,0.0
